_id,AnimalID,AnimalName,AnimalType,PrimaryColor,SecondaryColor,PrimaryBreed,Sex,DOB,Age,IntakeDate,IntakeCondition,IntakeType,IntakeSubtype,IntakeReason,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeCondition,Crossing,Jurisdiction,LastUpdate
6564,A1317595,,CAT,GRAY,,DOMESTIC SH,UNKNOWN,,NO AGE,10/2/23,DEAD,DISPO REQ,FIELD,,10/2/23,DISPOSAL,,DEAD,N ABBOTT / CALAVARAS,MILPITAS,10/2/23
6565,A1317597,,OTHER,GRAY,BLACK,RACCOON,UNKNOWN,,NO AGE,10/2/23,MED M,WILDLIFE,FIELD,,10/3/23,TRANSFER,WILDLIFE,MED M,LYNX X EDENBURY,SAN JOSE,10/3/23
6566,A1317599,RICKY BOBBY,DOG,GRAY,WHITE,PIT BULL,NEUTERED,10/19/21,2 YEARS,10/2/23,HEALTHY,STRAY,FIELD,,11/9/23,FOSTER,,BEH R,KIELY X SARATOGA,SAN JOSE,11/9/23
6567,A1317599,RICKY BOBBY,DOG,GRAY,WHITE,PIT BULL,NEUTERED,10/19/21,2 YEARS,11/13/23,HEALTHY,FOSTER,,,,,,,,SAN JOSE,6/21/24
6568,A1317600,SLEEPER,DOG,BLACK,WHITE,PIT BULL,NEUTERED,,NO AGE,10/2/23,MED M,STRAY,FIELD,,10/3/23,RTO,WALK IN,HEALTHY,WOLF X STEVENS CREEK,CUPERTINO,10/3/23
6569,A1317603,,DOG,BROWN,,CHIHUAHUA SH,FEMALE,,NO AGE,10/3/23,HEALTHY,STRAY,OTC,,2/11/24,FOUND ANIM,RTO,,FENWICK WAY X PETTIGREW DR,SAN JOSE,2/11/24
6570,A1317604,HONEYNUT,CAT,BLACK,WHITE,DOMESTIC LH,SPAYED,10/5/21,2 YEARS,10/3/23,PREGNANT,STRAY,OTC,IP ADOPT,10/6/23,ADOPTION,WALK IN,HEALTHY,LEWIS RD / JAMAICA RD,SAN JOSE,10/6/23
6571,A1317605,,DOG,BLACK,WHITE,FRENCH BULLDOG,FEMALE,,NO AGE,10/3/23,MED M,STRAY,OTC,,11/8/23,FOUND ANIM,RTO,MED M,S WHITE RD X ABORN RD,SAN JOSE,11/8/23
6572,A1317607,,CAT,BLACK,WHITE,DOMESTIC SH,UNKNOWN,,NO AGE,10/3/23,MED SEV,STRAY,OTC,,10/3/23,EUTH,U MED SEV,MED SEV,TUSTIN DR X BRADBURY DR,SAN JOSE,10/3/23
6573,A1317608,,CAT,BLACK,,DOMESTIC MH,UNKNOWN,,NO AGE,10/3/23,DEAD,DISPO REQ,OTC,,10/3/23,DISPOSAL,,DEAD,,SAN JOSE,10/3/23
6574,A1317618,,CAT,GRAY,,DOMESTIC SH,UNKNOWN,,NO AGE,10/3/23,DEAD,DISPO REQ,OTC,,10/3/23,DISPOSAL,,DEAD,COYOTE RD / PALISADE DR,SAN JOSE,10/3/23
6575,A1317623,,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,7/3/23,11 MONTHS,10/3/23,MED R,STRAY,OTC,,10/22/23,ADOPTION,,MED R,TORRANCE AVE / S WHITE RD,SAN JOSE,10/22/23
6576,A1317624,CHLOE,DOG,WHITE,,MALTESE,FEMALE,10/3/17,6 YEARS,10/3/23,MED M,STRAY,OTC,,10/3/23,RTO,WEBSITE,HEALTHY,SENTER RD X BALTIC WAY,SAN JOSE,10/3/23
6577,A1317625,,CAT,TABBY-ORG,,DOMESTIC SH,MALE,10/3/15,8 YEARS,10/3/23,MED EMERG,STRAY,FIELD,,10/4/23,DIED,IN KENNEL,MED SEV,SANTA RITA,SAN JOSE,10/6/23
6578,A1317626,GILLIGAN,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,9/11/23,9 MONTHS,10/3/23,MED R,STRAY,OTC,,10/5/23,FOSTER,,MED R,RIDGE VISTA AVE,SAN JOSE,10/5/23
6579,A1317626,GILLIGAN,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,9/11/23,9 MONTHS,10/13/23,MED R,FOSTER,,,10/15/23,FOSTER,,MED R,RIDGE VISTA AVE,SAN JOSE,10/15/23
6580,A1317626,GILLIGAN,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,9/11/23,9 MONTHS,11/9/23,HEALTHY,FOSTER,,,11/15/23,TRANSFER,HSSV,HEALTHY,,SAN JOSE,11/15/23
6581,A1317627,HOWELL,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,9/11/23,9 MONTHS,11/9/23,HEALTHY,FOSTER,,,11/15/23,TRANSFER,HSSV,HEALTHY,,SAN JOSE,11/15/23
6582,A1317627,HOWELL,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,9/11/23,9 MONTHS,10/13/23,MED R,FOSTER,,,10/15/23,FOSTER,,MED R,RIDGE VISTA AVE,SAN JOSE,10/15/23
6583,A1317627,HOWELL,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,9/11/23,9 MONTHS,10/3/23,MED R,STRAY,OTC,,10/5/23,FOSTER,,MED R,RIDGE VISTA AVE,SAN JOSE,10/5/23
6584,A1317628,SKIPPER,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,9/11/23,9 MONTHS,10/3/23,MED R,STRAY,OTC,,10/5/23,FOSTER,,MED R,RIDGE VISTA AVE,SAN JOSE,10/5/23
6585,A1317628,SKIPPER,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,9/11/23,9 MONTHS,10/13/23,MED R,FOSTER,,,10/15/23,FOSTER,,MED R,RIDGE VISTA AVE,SAN JOSE,10/15/23
6586,A1317628,SKIPPER,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,9/11/23,9 MONTHS,11/9/23,HEALTHY,FOSTER,,,11/15/23,TRANSFER,HSSV,HEALTHY,,SAN JOSE,11/15/23
6587,A1317629,LOVEY,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,9/18/23,9 MONTHS,11/9/23,HEALTHY,FOSTER,,,11/15/23,TRANSFER,HSSV,HEALTHY,,SAN JOSE,11/15/23
6588,A1317629,LOVEY,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,9/18/23,9 MONTHS,10/13/23,MED R,FOSTER,,,10/15/23,FOSTER,,MED R,RIDGE VISTA AVE,SAN JOSE,10/15/23
6589,A1317629,LOVEY,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,9/18/23,9 MONTHS,10/3/23,MED R,STRAY,OTC,,10/5/23,FOSTER,,MED R,RIDGE VISTA AVE,SAN JOSE,10/5/23
6590,A1317630,MARRY ANNE,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,9/11/23,9 MONTHS,10/3/23,MED R,STRAY,OTC,,10/5/23,FOSTER,,MED R,RIDGE VISTA AVE,SAN JOSE,10/5/23
6591,A1317630,MARRY ANNE,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,9/11/23,9 MONTHS,10/13/23,MED R,FOSTER,,,10/15/23,FOSTER,,MED R,RIDGE VISTA AVE,SAN JOSE,10/15/23
6592,A1317630,MARRY ANNE,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,9/11/23,9 MONTHS,11/9/23,HEALTHY,FOSTER,,,11/15/23,TRANSFER,HSSV,HEALTHY,,SAN JOSE,11/15/23
6593,A1317631,,CAT,GRAY,,DOMESTIC SH,UNKNOWN,,NO AGE,10/3/23,HEALTHY,STRAY,MEDVET,,10/10/23,DIED,IN FOSTER,MED SEV,JOHNSON,SAN JOSE,10/10/23
6594,A1317632,,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,7/26/23,11 MONTHS,10/3/23,MED R,STRAY,MEDVET,,10/26/23,RTF,,MED M,RINGWOOD,SAN JOSE,10/26/23
6595,A1317633,,CAT,BLACK,,DOMESTIC SH,NEUTERED,7/26/23,11 MONTHS,10/3/23,MED M,STRAY,MEDVET,,10/26/23,RTF,,MED M,RINGWOOD,SAN JOSE,10/26/23
6596,A1317634,,CAT,BLACK,,DOMESTIC SH,SPAYED,7/26/23,11 MONTHS,10/3/23,MED M,STRAY,MEDVET,,10/26/23,RTF,,MED M,RINGWOOD,SAN JOSE,10/26/23
6597,A1317635,SADIE,DOG,WHITE,BROWN,LABRADOR RETR,SPAYED,12/3/22,1 YEAR 6 MONTHS,10/3/23,MED R,STRAY,OTC,,10/18/23,ADOPTION,WALK IN,,EVANS RD X CALAVERAS RD,MILPITAS,10/18/23
6598,A1317636,,DOG,BLUE,,FRENCH BULLDOG,MALE,10/3/22,1 YEAR 8 MONTHS,10/3/23,HEALTHY,STRAY,FOUND,,11/7/23,FOUND ANIM,GAVE AWAY,HEALTHY,DELMAS AVE/ATLANTA AVE,SAN JOSE,11/7/23
6599,A1317638,NALA,CAT,TORBI-DIL,,DOMESTIC SH,SPAYED,8/11/23,10 MONTHS,10/3/23,MED R,STRAY,OTC,,10/14/23,ADOPTION,WALK IN,HEALTHY,900 BLOCK LINDA VISTA ST X PENITENCIA CREEK RD,SAN JOSE,10/14/23
6600,A1317639,PRINCESS,DOG,BLACK,BROWN,FRENCH BULLDOG,SPAYED,10/7/17,6 YEARS,10/3/23,HEALTHY,STRAY,OTC,,10/11/23,ADOPTION,WALK IN,,MCLAUGHLIN AVE X AUDUBON DR,SAN JOSE,10/17/23
6601,A1317641,,CAT,WHITE,GRAY,DOMESTIC SH,UNKNOWN,,NO AGE,10/3/23,MED M,STRAY,MEDVET,,10/3/23,EUTH,U MED EMRG,MED M,PLAINFIELD,SAN JOSE,10/3/23
6602,A1317643,,CAT,TABBY-ORG,,DOMESTIC SH,MALE,,NO AGE,10/3/23,MED M,STRAY,MEDVET,,10/3/23,EUTH,U MED EMRG,MED M,SOUTHSIDE,SAN JOSE,10/3/23
6603,A1317644,,CAT,TABBY-BRN,,DOMESTIC SH,UNKNOWN,,NO AGE,10/3/23,MED M,STRAY,MEDVET,,10/3/23,EUTH,U MED EMRG,MED M,UNKNOWN,SAN JOSE,10/3/23
6604,A1317646,,CAT,BLACK,,DOMESTIC SH,UNKNOWN,,NO AGE,10/3/23,MED M,STRAY,MEDVET,,10/3/23,EUTH,U MED EMRG,MED M,UNION X CARLTON,SAN JOSE,10/3/23
6605,A1317647,CHURRO,DOG,YELLOW,,CHIHUAHUA SH,NEUTERED,10/3/18,5 YEARS,10/3/23,MED R,STRAY,OTC,,10/31/23,FOSTER,,HEALTHY,STORY RD,SAN JOSE,12/5/23
6606,A1317647,CHURRO,DOG,YELLOW,,CHIHUAHUA SH,NEUTERED,10/3/18,5 YEARS,12/5/23,MED R,FOSTER,,,12/5/23,ADOPTION,,,,SAN JOSE,12/5/23
6607,A1317652,SHIBA,DOG,BRINDLE-BN,,AMERICAN STAFF,FEMALE,10/3/21,2 YEARS,10/3/23,HEALTHY,CONFISCATE,BITE,,10/13/23,RTO,WALK IN,HEALTHY,,SAN JOSE,10/13/23
6608,A1317656,NANDI,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,10/6/21,2 YEARS,10/3/23,NURSING,STRAY,OTC,,11/29/23,ADOPTION,WALK IN,HEALTHY,ALUM ROCK AVE X SUNSET AVE,SAN JOSE,11/29/23
6609,A1317657,CHARLIE,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,9/29/23,9 MONTHS,10/3/23,NURSING,STRAY,OTC,,11/13/23,ADOPTION,WEBSITE,HEALTHY,ALUM ROCK AVE X SUNSET AVE,SAN JOSE,12/15/23
6610,A1317658,AMOMONGO,CAT,TABBY-GRAY,,DOMESTIC SH,NEUTERED,9/29/23,9 MONTHS,10/3/23,NURSING,STRAY,OTC,,11/11/23,ADOPTION,,NURSING,ALUM ROCK AVE X SUNSET AVE,SAN JOSE,11/11/23
6611,A1317659,,OTHER,WHITE,GRAY,RABBIT SH,UNKNOWN,,NO AGE,10/3/23,MED SEV,STRAY,OTC,,10/3/23,EUTH,,MED SEV,MERIDIAN AVE/MINNESOTA AVE,SAN JOSE,10/3/23
6612,A1317660,,OTHER,GRAY,,OPOSSUM,UNKNOWN,,NO AGE,10/3/23,DEAD,DISPO REQ,FIELD,,10/3/23,DIED,,DEAD,OLD PARK,SAN JOSE,10/3/23
6613,A1317661,,OTHER,GRAY,,OPOSSUM,UNKNOWN,,NO AGE,10/3/23,DEAD,DISPO REQ,FIELD,,10/3/23,DISPOSAL,,DEAD,STELLING X ALVES,CUPERTINO,10/3/23
6614,A1317662,DJANGO,DOG,BLACK,BROWN,YORKSHIRE TERR,MALE,10/7/20,3 YEARS,10/3/23,HEALTHY,STRAY,OTC,,10/10/23,RTO,WALK IN,HEALTHY,BERRYESSA RD X SUMMERPARK CT,SAN JOSE,10/10/23
6615,A1317665,BOO,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,9/4/23,9 MONTHS,10/3/23,HEALTHY,STRAY,OTC,,10/8/23,FOSTER,,MED R,SENTER RD,SAN JOSE,10/28/23
6616,A1317665,BOO,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,9/4/23,9 MONTHS,10/31/23,HEALTHY,FOSTER,,,10/31/23,ADOPTION,WALK IN,HEALTHY,SENTER RD,SAN JOSE,10/31/23
6617,A1317667,,CAT,CALICO-TRI,,DOMESTIC SH,FEMALE,,NO AGE,10/3/23,NURSING,STRAY,OTC,,10/11/23,EUTH,U MED SEV,MED SEV,STORY RD,SAN JOSE,10/11/23
6618,A1317669,,CAT,BLACK,WHITE,DOMESTIC SH,MALE,5/3/23,5 MONTHS,10/3/23,MED SEV,STRAY,OTC,,10/5/23,DIED,IN KENNEL,MED SEV,LANAI AVE,SAN JOSE,10/5/23
6619,A1317670,,BIRD,BLACK,GRAY,PIGEON,UNKNOWN,,NO AGE,10/3/23,MED SEV,STRAY,OTC,,10/3/23,EUTH,U MED SEV,MED SEV,MONTEREY RD/CHYNOWETH WAY,SAN JOSE,10/3/23
6620,A1317672,SALEM,CAT,BLACK,,DOMESTIC SH,NEUTERED,8/27/23,10 MONTHS,10/3/23,MED R,STRAY,OTC,,10/24/23,TRANSFER,HSSV,MED R,GLEN DUNDEE WAY,SAN JOSE,10/24/23
6621,A1317674,FISHER,CAT,BLACK,,DOMESTIC SH,NEUTERED,8/6/23,10 MONTHS,10/3/23,HEALTHY,STRAY,OTC,,12/29/23,ADOPTION,WALK IN,,FISHER AVE,LOS GATOS,12/29/23
6622,A1317675,,OTHER,BROWN,,RACCOON,UNKNOWN,,NO AGE,10/3/23,DEAD,DISPO REQ,FIELD,,10/3/23,DISPOSAL,,DEAD,SNELL/SKYWAY,SAN JOSE,10/3/23
6623,A1317676,SNOW WHITE,DOG,WHITE,CREAM,CHIHUAHUA LH,SPAYED,10/11/18,5 YEARS,10/3/23,HEALTHY,STRAY,OTC,,10/12/23,ADOPTION,WALK IN,HEALTHY,CATHERINE ST/HOPE ST,SAN JOSE,10/14/23
6624,A1317677,,OTHER,BLACK,,SKUNK,UNKNOWN,,NO AGE,10/3/23,MED M,WILDLIFE,FIELD,,10/4/23,TRANSFER,WILDLIFE,MED R,N ABBOTT,MILPITAS,10/4/23
6625,A1317678,LARAMIE,OTHER,BROWN,WHITE,DUTCH,MALE,10/3/17,6 YEARS,10/3/23,MED SEV,OWNER SUR,FIELD,,1/31/24,RESCUE,PRIVATE,MED SEV,,SAN JOSE,1/31/24
6626,A1317679,THUNDER,OTHER,GRAY,TAN,RABBIT SH,MALE,,NO AGE,10/3/23,MED R,OWNER SUR,FIELD,,1/18/24,DIED,AT VET,MED SEV,,SAN JOSE,3/7/24
6627,A1317680,,OTHER,GOLD,WHITE,RABBIT SH,UNKNOWN,,NO AGE,10/3/23,MED M,OWNER SUR,FIELD,,10/5/23,RESCUE,RABBITHVN,MED M,,SAN JOSE,10/5/23
6628,A1317681,,OTHER,GOLD,,RABBIT SH,UNKNOWN,,NO AGE,10/3/23,MED M,OWNER SUR,FIELD,,10/4/23,RESCUE,RABBITHVN,MED M,,SAN JOSE,10/8/23
6629,A1317682,,OTHER,GOLD,,RABBIT SH,UNKNOWN,,NO AGE,10/3/23,MED M,OWNER SUR,FIELD,,10/4/23,RESCUE,RABBITHVN,MED M,,SAN JOSE,10/8/23
6630,A1317683,,OTHER,GOLD,,RABBIT SH,UNKNOWN,,NO AGE,10/3/23,MED M,OWNER SUR,FIELD,,10/4/23,RESCUE,RABBITHVN,MED M,,SAN JOSE,10/8/23
6631,A1317684,,OTHER,GRAY,,RABBIT SH,UNKNOWN,,NO AGE,10/3/23,MED M,OWNER SUR,FIELD,,,,,,,SAN JOSE,5/25/24
6632,A1317685,PEPPER,OTHER,BLACK,TAN,RABBIT SH,FEMALE,,NO AGE,10/3/23,MED M,OWNER SUR,FIELD,,4/28/24,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,4/28/24
6633,A1317686,BLONDIE,OTHER,GOLD,,RABBIT SH,SPAYED,12/1/22,1 YEAR 6 MONTHS,10/3/23,HEALTHY,OWNER SUR,FIELD,,12/17/23,FOSTER,,HEALTHY,,SAN JOSE,2/26/24
6634,A1317686,BLONDIE,OTHER,GOLD,,RABBIT SH,SPAYED,12/1/22,1 YEAR 6 MONTHS,3/22/24,HEALTHY,FOSTER,,,3/22/24,ADOPTION,,HEALTHY,,SAN JOSE,3/22/24
6635,A1317687,MAPLE,OTHER,BROWN,,RABBIT SH,FEMALE,,NO AGE,10/3/23,MED M,OWNER SUR,FIELD,,,,,,,SAN JOSE,10/28/23
6636,A1317688,FRENCHIE,OTHER,GOLD,,RABBIT SH,SPAYED,12/1/22,1 YEAR 6 MONTHS,10/3/23,MED M,OWNER SUR,FIELD,,4/7/24,FOSTER,,HEALTHY,,SAN JOSE,6/13/24
6637,A1317688,FRENCHIE,OTHER,GOLD,,RABBIT SH,SPAYED,12/1/22,1 YEAR 6 MONTHS,6/18/24,HEALTHY,FOSTER,,,6/18/24,ADOPTION,WALK IN,,,,6/18/24
6638,A1317688,FRENCHIE,OTHER,GOLD,,RABBIT SH,SPAYED,12/1/22,1 YEAR 6 MONTHS,6/13/24,HEALTHY,FOSTER,,,6/13/24,FOSTER,,HEALTHY,,,6/13/24
6639,A1317689,NADJA,OTHER,BLACK,TAN,RABBIT SH,SPAYED,,NO AGE,5/12/24,HEALTHY,FOSTER,,,5/24/24,RESCUE,RABBITHVN,HEALTHY,,SAN JOSE,5/24/24
6640,A1317690,KAHLUA,OTHER,BLACK,TAN,RABBIT SH,SPAYED,,NO AGE,10/3/23,HEALTHY,OWNER SUR,FIELD,,4/13/24,FOSTER,,HEALTHY,,SAN JOSE,4/13/24
6641,A1317690,KAHLUA,OTHER,BLACK,TAN,RABBIT SH,SPAYED,,NO AGE,4/18/24,HEALTHY,FOSTER,,,6/16/24,RESCUE,HRS,HEALTHY,,SAN JOSE,6/16/24
6642,A1317691,JANEWAY,OTHER,BROWN,BLACK,RABBIT SH,SPAYED,,NO AGE,10/3/23,HEALTHY,OWNER SUR,FIELD,,3/9/24,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,3/9/24
6643,A1317692,JULEP,OTHER,BLACK,,RABBIT SH,SPAYED,,NO AGE,10/3/23,HEALTHY,OWNER SUR,FIELD,,4/12/24,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,4/16/24
6644,A1317693,PAISLEY,OTHER,BROWN,,RABBIT SH,SPAYED,,NO AGE,10/3/23,HEALTHY,OWNER SUR,FIELD,,5/26/24,RESCUE,RABBITHVN,HEALTHY,,SAN JOSE,5/26/24
6645,A1317694,PARSNIP,OTHER,BROWN,,RABBIT LH,SPAYED,,NO AGE,10/3/23,HEALTHY,OWNER SUR,FIELD,,6/27/24,FOSTER,,HEALTHY,,SAN JOSE,6/27/24
6646,A1317695,ZSA ZSA,OTHER,BROWN,,RABBIT SH,SPAYED,,NO AGE,10/3/23,HEALTHY,OWNER SUR,FIELD,,5/26/24,RESCUE,RABBITHVN,HEALTHY,,SAN JOSE,5/26/24
6647,A1317697,,OTHER,BLACK,WHITE,SKUNK,UNKNOWN,,NO AGE,10/4/23,MED EMERG,WILDLIFE,FIELD,,10/4/23,TRANSFER,,MED EMERG,5000 BLK DEREK DR,SAN JOSE,10/7/23
6648,A1317698,TRAP 1,CAT,BLACK,,DOMESTIC SH,SPAYED,10/4/22,1 YEAR 8 MONTHS,10/4/23,FERAL,S/N CLINIC,FERAL,,10/4/23,RTF,,FERAL,,SAN JOSE,10/4/23
6649,A1317699,TRAP 2,CAT,PT-SEAL,,DOMESTIC SH,SPAYED,10/4/22,1 YEAR 8 MONTHS,10/4/23,FERAL,S/N CLINIC,FERAL,,10/4/23,RTF,,FERAL,,SAN JOSE,10/4/23
6650,A1317700,TRAP 3,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,10/4/22,1 YEAR 8 MONTHS,10/4/23,FERAL,S/N CLINIC,FERAL,,10/4/23,RTF,,FERAL,,SAN JOSE,10/4/23
6651,A1317701,TRAP 4,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,3/4/23,1 YEAR 3 MONTHS,10/4/23,FERAL,S/N CLINIC,FERAL,,10/4/23,RTF,,FERAL,,SAN JOSE,10/4/23
6652,A1317702,TRAP 5,CAT,CALICO-TRI,,DOMESTIC SH,SPAYED,10/4/22,1 YEAR 8 MONTHS,10/4/23,FERAL,S/N CLINIC,FERAL,,10/4/23,RTF,,FERAL,,SAN JOSE,10/4/23
6653,A1317703,TRAP 6,CAT,PT-LYNX,,DOMESTIC SH,SPAYED,10/4/22,1 YEAR 8 MONTHS,10/4/23,FERAL,S/N CLINIC,FERAL,,10/4/23,RTF,,FERAL,,SAN JOSE,10/4/23
6654,A1317704,TRAP 7,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,10/4/22,1 YEAR 8 MONTHS,10/4/23,FERAL,S/N CLINIC,FERAL,,10/12/23,RTF,,FERAL,,SAN JOSE,10/12/23
6655,A1317705,MS.MEOWGI,CAT,BLACK,,DOMESTIC SH,SPAYED,8/31/23,10 MONTHS,10/4/23,MED EMERG,STRAY,FIELD,,10/17/23,ADOPTION,WALK IN,HEALTHY,MURPHY AVE / RINGWOOD AVE,SAN JOSE,10/17/23
6656,A1317706,TRAP 8,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,10/4/22,1 YEAR 8 MONTHS,10/4/23,FERAL,S/N CLINIC,FERAL,,10/12/23,RTF,,FERAL,,SAN JOSE,10/12/23
6657,A1317707,TRAP 9,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,10/4/22,1 YEAR 8 MONTHS,10/4/23,FERAL,S/N CLINIC,FERAL,,10/4/23,RTF,,FERAL,,SAN JOSE,10/4/23
6658,A1317708,TRAP 10,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,10/4/22,1 YEAR 8 MONTHS,10/4/23,FERAL,S/N CLINIC,FERAL,,10/4/23,RTF,,FERAL,,SAN JOSE,10/4/23
6659,A1317709,TRAP 12,CAT,GRAY,WHITE,DOMESTIC SH,SPAYED,10/4/22,1 YEAR 8 MONTHS,10/4/23,FERAL,S/N CLINIC,FERAL,,10/4/23,SPAY,,FERAL,,SAN JOSE,10/4/23
6660,A1317710,TRAP 11,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,5/4/23,1 YEAR 1 MONTH,10/4/23,FERAL,S/N CLINIC,FERAL,,10/4/23,RTF,,FERAL,,SAN JOSE,10/4/23
6661,A1317714,TRAP 13,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,10/4/22,1 YEAR 8 MONTHS,10/4/23,FERAL,S/N CLINIC,FERAL,,10/4/23,RTF,,FERAL,,SAN JOSE,10/4/23
6662,A1317720,,CAT,TABBY-GRAY,,DOMESTIC MH,NEUTERED,4/5/23,1 YEAR 2 MONTHS,6/2/24,DEAD,DISPO REQ,FIELD,,6/2/24,DISPOSAL,,DEAD,RACE ST,SAN JOSE,6/2/24
6663,A1317723,,OTHER,GRAY,,OPOSSUM,UNKNOWN,,NO AGE,10/4/23,MED R,WILDLIFE,FIELD,,10/4/23,TRANSFER,WILDLIFE,MED R,,SAN JOSE,10/4/23
6664,A1317724,,OTHER,BROWN,,ALLIGATOR,UNKNOWN,,NO AGE,10/4/23,DEAD,DISPO REQ,FIELD,,10/4/23,DISPOSAL,,DEAD,,SAN JOSE,10/4/23
6665,A1317725,,CAT,TABBY-BUFF,BLACK,DOMESTIC SH,UNKNOWN,,NO AGE,10/4/23,DEAD,DISPO REQ,OTC,,10/4/23,DISPOSAL,,DEAD,BETSY WAY / JIM DR,SAN JOSE,10/4/23
6666,A1317728,HEMATITE,CAT,GRAY,,DOMESTIC SH,NEUTERED,7/28/23,11 MONTHS,10/4/23,HEALTHY,STRAY,OTC,,10/4/23,FOSTER,,HEALTHY,E S 20TH ST/BROOKWOOD AVE,SAN JOSE,10/4/23
6667,A1317728,HEMATITE,CAT,GRAY,,DOMESTIC SH,NEUTERED,7/28/23,11 MONTHS,10/13/23,HEALTHY,FOSTER,,,10/24/23,TRANSFER,HSSV,HEALTHY,,SAN JOSE,10/24/23
6668,A1317729,,CAT,TABBY-GRAY,,DOMESTIC SH,MALE,,NO AGE,10/4/23,HEALTHY,STRAY,OTC,,3/16/24,LOST EXP,,HEALTHY,500 BLOCK E SANTA CLARA ST X N 11TH ST,SAN JOSE,3/16/24
6669,A1317731,BRUNO,DOG,BRINDLE-BN,WHITE,PIT BULL,NEUTERED,4/7/23,1 YEAR 2 MONTHS,10/4/23,MED R,STRAY,OTC,,11/2/23,ADOPTION,WALK IN,HEALTHY,KING RD X STORY RD,SAN JOSE,11/2/23
6670,A1317732,ZORRO,CAT,BLACK,,DOMESTIC SH,NEUTERED,10/6/19,4 YEARS,10/4/23,HEALTHY,STRAY,OTC,,10/22/23,ADOPTION,,HEALTHY,2700 BLOCK MONTEREY RD,SAN JOSE,10/22/23
6671,A1317733,CASPER,DOG,WHITE,,DOGO ARGENTINO,MALE,10/22/20,3 YEARS,10/4/23,MED R,STRAY,OTC,,11/2/23,RESCUE,EPD,BEH R,E TAYLOR X N 13TH ST,SAN JOSE,11/3/23
6672,A1317734,DOJA CAT,CAT,WHITE,BLACK,DOMESTIC SH,FEMALE,7/4/23,11 MONTHS,10/4/23,MED R,STRAY,OTC,,10/4/23,FOSTER,,HEALTHY,SOUTH BUEANA VISTA AVE,SAN JOSE,10/4/23
6673,A1317734,DOJA CAT,CAT,WHITE,BLACK,DOMESTIC SH,FEMALE,7/4/23,11 MONTHS,10/18/23,HEALTHY,FOSTER,,,11/2/23,TRANSFER,HSSV,HEALTHY,SOUTH BUEANA VISTA AVE,SAN JOSE,11/2/23
6674,A1317736,,CAT,TABBY-GRAY,,DOMESTIC SH,UNKNOWN,,NO AGE,10/4/23,DEAD,DISPO REQ,OTC,,10/4/23,DISPOSAL,,DEAD,HOSTETTER X FOUYR OAKS,SAN JOSE,10/4/23
6675,A1317745,,BIRD,BLACK,,CROW,UNKNOWN,,NO AGE,10/4/23,DEAD,DISPO REQ,FIELD,,10/4/23,DISPOSAL,,DEAD,S ABEL ST / GREAT MALL PKWY,MILPITAS,10/4/23
6676,A1317747,JINX,CAT,CALICO-TRI,,DOMESTIC SH,SPAYED,8/6/23,10 MONTHS,10/4/23,MED R,STRAY,OTC,,1/14/24,ADOPTION,WALK IN,MED R,S JACKSON AVE,SAN JOSE,1/14/24
6677,A1317747,JINX,CAT,CALICO-TRI,,DOMESTIC SH,SPAYED,8/6/23,10 MONTHS,4/22/24,HEALTHY,OWNER SUR,OTC,,6/4/24,ADOPTION,,HEALTHY,,SAN JOSE,6/4/24
6678,A1317749,PRINCE,CAT,BLACK,,DOMESTIC SH,NEUTERED,8/4/23,10 MONTHS,10/4/23,HEALTHY,STRAY,FIELD,,12/8/23,ADOPTION,,HEALTHY,SANTANA X OLIN,SAN JOSE,12/8/23
